level 5
#{{l|ja|洗う}}, {{l|ja|あらう}} -to wash
#{{l|ja|ある}} -to be,to have (used for inanimate objects)
#{{l|ja|歩く}}, {{l|ja|あるく}} -to walk
#{{l|ja|あれ}} -that
#{{l|ja|いい}} -good
#{{l|ja|いいえ}} -no
#{{l|ja|言う}}, {{l|ja|いう}} -to say
#{{l|ja|家}}, {{l|ja|いえ}} -house
#{{l|ja|いかが}} -how
#{{l|ja|行く}}, {{l|ja|いく}} -to go
#{{l|ja|いくつ}} -how many?,how old?
#{{l|ja|いくら}} -how much?
#{{l|ja|池}}, {{l|ja|いけ}} -pond
#{{l|ja|医者}}, {{l|ja|いしゃ}} -medical doctor
#{{l|ja|いす}} -chair
#{{l|ja|忙しい}}, {{l|ja|いそがしい}} -busy,irritated
#{{l|ja|痛い}}, {{l|ja|いたい}} -painful
#{{l|ja|一}}, {{l|ja|いち}} -one
#{{l|ja|一日}}, {{l|ja|いちにち}} -(1) one day, (2) first of month
#{{l|ja|いちばん}} -best,first
#{{l|ja|いつ}} -when
#{{l|ja|五日}}, {{l|ja|いつか}} -five days, fifth day
#{{l|ja|一緒}}, {{l|ja|いっしょ}} -together
#{{l|ja|五つ}}, {{l|ja|いつつ}} -five
#{{l|ja|いつも}} -always
#{{l|ja|犬}}, {{l|ja|いぬ}} -dog
#{{l|ja|今}}, {{l|ja|いま}} -now
#{{l|ja|意味}}, {{l|ja|いみ}} -meaning
#{{l|ja|妹}}, {{l|ja|いもうと}} -(humble) younger sister
#{{l|ja|嫌}}, {{l|ja|いや}} -unpleasant
#{{l|ja|入口}}, {{l|ja|いりぐち}} -entrance
#{{l|ja|居る}}, {{l|ja|いる}} -to be, to have (used for people and animals)
#{{l|ja|要る}}, {{l|ja|いる}} -to need
#{{l|ja|入れる}}, {{l|ja|いれる}} -to put in
#{{l|ja|色}}, {{l|ja|いろ}} -colour
#{{l|ja|いろいろ}} -various
#{{l|ja|上}}, {{l|ja|うえ}} -on top of
#{{l|ja|後ろ}}, {{l|ja|うしろ}} -behind
#{{l|ja|薄い}}, {{l|ja|うすい}} -thin,weak
#{{l|ja|歌}}, {{l|ja|うた}} -song
#{{l|ja|歌う}}, {{l|ja|うたう}} -to sing
#{{l|ja|生まれる}}, {{l|ja|うまれる}} -to be born
#{{l|ja|海}}, {{l|ja|うみ}} -sea
#{{l|ja|売る}}, {{l|ja|うる}} -to sell
#{{l|ja|煩い}}, {{l|ja|うるさい}} -noisy,annoying
#{{l|ja|上着}}, {{l|ja|うわぎ}} -jacket
#{{l|ja|絵}}, {{l|ja|え}} -picture
#{{l|ja|映画}}, {{l|ja|えいが}} -movie
#{{l|ja|映画館}}, {{l|ja|えいがかん}} -cinema
#{{l|ja|英語}}, {{l|ja|えいご}} -English language
#{{l|ja|ええ}} -yes
#{{l|ja|駅}}, {{l|ja|えき}} -station
#{{l|ja|エレベーター}} -elevator
#{{l|ja|鉛筆}}, {{l|ja|えんぴつ}} -pencil
#{{l|ja|おいしい}} -delicious
#{{l|ja|多い}}, {{l|ja|おおい}} -many
#{{l|ja|大きい}}, {{l|ja|おおきい}} -big
#{{l|ja|大きな}}, {{l|ja|おおきな}} -big
#{{l|ja|大勢}}, {{l|ja|おおぜい}} -great number of people
#{{l|ja|お母さん}}, {{l|ja|おかあさん}} -(honorable) mother
#{{l|ja|お菓子}}, {{l|ja|おかし}} -sweets, candy
#{{l|ja|お金}}, {{l|ja|おかね}} -money
#{{l|ja|起きる}}, {{l|ja|おきる}} -to get up
#{{l|ja|置く}}, {{l|ja|おく}} -to put
#{{l|ja|奥さん}}, {{l|ja|おくさん}} -(honorable) wife
#{{l|ja|お酒}}, {{l|ja|おさけ}} -alcohol, rice wine
#{{l|ja|お皿}}, {{l|ja|おさら}} -plate, dish
#{{l|ja|教える}}, {{l|ja|おしえる}} -to teach,to tell
#{{l|ja|押す}}, {{l|ja|おす}} -to push, to stamp something
#{{l|ja|遅い}}, {{l|ja|おそい}} -late,slow
#{{l|ja|お茶}}, {{l|ja|おちゃ}} -green tea
#{{l|ja|お手洗い}}, {{l|ja|おてあらい}} -bathroom
#{{l|ja|お父さん}}, {{l|ja|おとうさん}} -(honorable) father
#{{l|ja|弟}}, {{l|ja|おとうと}} -younger brother
#{{l|ja|男}}, {{l|ja|おとこ}} -man
#{{l|ja|男の子}}, {{l|ja|おとこのこ}} -boy
#{{l|ja|一昨日}}, {{l|ja|おととい}} -day before yesterday
#{{l|ja|一昨年}}, {{l|ja|おととし}} -year before last
#{{l|ja|大人}}, {{l|ja|おとな}} -adult
#{{l|ja|おなか}} -stomach
#{{l|ja|同じ}}, {{l|ja|おなじ}} -same
#{{l|ja|お兄さん}}, {{l|ja|おにいさん}} -(honorable) older brother
#{{l|ja|お姉さん}}, {{l|ja|おねえさん}} -(honorable) older sister
#{{l|ja|おばあさん}} -grandmother,female senior-citizen
#{{l|ja|お風呂}}, {{l|ja|おふろ}} -bath
#{{l|ja|お弁当}}, {{l|ja|おべんとう}} -boxed lunch
#{{l|ja|覚える}}, {{l|ja|おぼえる}} -to remember
#{{l|ja|おまわりさん}} -friendly term for policeman
#{{l|ja|重い}}, {{l|ja|おもい}} -heavy
#{{l|ja|おもしろい}} -interesting
#{{l|ja|泳ぐ}}, {{l|ja|およぐ}} -to swim
#{{l|ja|降りる}}, {{l|ja|おりる}} -to get off, to descend
#{{l|ja|終る}}, {{l|ja|おわる}} -to finish
#{{l|ja|音楽}}, {{l|ja|おんがく}} -music
#{{l|ja|女}}, {{l|ja|おんな}} -woman
#{{l|ja|女の子}}, {{l|ja|おんなのこ}} -girl
#{{l|ja|外国}}, {{l|ja|がいこく}} -foreign country
#{{l|ja|外国人}}, {{l|ja|がいこくじん}} -foreigner
#{{l|ja|会社}}, {{l|ja|かいしゃ}} -company
#{{l|ja|階段}}, {{l|ja|かいだん}} -stairs
#{{l|ja|買い物}}, {{l|ja|かいもの}} -shopping
#{{l|ja|買う}}, {{l|ja|かう}} -to buy
#{{l|ja|返す}}, {{l|ja|かえす}} -to return something
#{{l|ja|帰る}}, {{l|ja|かえる}} -to go back
#{{l|ja|かかる}} -to take time or money
#{{l|ja|かぎ}} -key
#{{l|ja|書く}}, {{l|ja|かく}} -to write
#{{l|ja|学生}}, {{l|ja|がくせい}} -student
#{{l|ja|かける}} -to call by phone
#{{l|ja|傘}}, {{l|ja|かさ}} -umbrella
#{{l|ja|貸す}}, {{l|ja|かす}} -to lend
#{{l|ja|風}}, {{l|ja|かぜ}} -wind
#{{l|ja|風邪}}, {{l|ja|かぜ}} -a cold
#{{l|ja|家族}}, {{l|ja|かぞく}} -family
#{{l|ja|方}}, {{l|ja|かた}} -person, way of doing
#{{l|ja|学校}}, {{l|ja|がっこう}} -school
#{{l|ja|カップ}} -cup
#{{l|ja|家庭}}, {{l|ja|かてい}} -household
#{{l|ja|角}}, {{l|ja|かど}} -a corner
#{{l|ja|かばん}} -bag,basket
#{{l|ja|花瓶}}, {{l|ja|かびん}} -a vase
#{{l|ja|紙}}, {{l|ja|かみ}} -paper
#{{l|ja|カメラ}} -camera
#{{l|ja|火曜日}}, {{l|ja|かようび}} -Tuesday
#{{l|ja|辛い}}, {{l|ja|からい}} -spicy
#{{l|ja|体}}, {{l|ja|からだ}} -body
#{{l|ja|借りる}}, {{l|ja|かりる}} -to borrow
#{{l|ja|軽い}}, {{l|ja|かるい}} -light
#{{l|ja|カレー}} -curry
#{{l|ja|カレンダー}} -calendar
#{{l|ja|河}}, {{l|ja|かわ}} -river
#{{l|ja|かわいい}} -cute
#{{l|ja|漢字}}, {{l|ja|かんじ}} -Chinese character
#{{l|ja|木}}, {{l|ja|き}} -tree,wood
#{{l|ja|黄色}}, {{l|ja|きいろ}} -yellow
#{{l|ja|黄色い}}, {{l|ja|きいろい}} -yellow
#{{l|ja|消える}}, {{l|ja|きえる}} -to disappear
#{{l|ja|聞く}}, {{l|ja|きく}} -to hear,to listen to,to ask
#{{l|ja|北}}, {{l|ja|きた}} -north
#{{l|ja|ギター}} -guitar
#{{l|ja|汚い}}, {{l|ja|きたない}} -dirty
#{{l|ja|喫茶店}}, {{l|ja|きっさてん}} -coffee lounge
#{{l|ja|切手}}, {{l|ja|きって}} -postage stamp
#{{l|ja|切符}}, {{l|ja|きっぷ}} -ticket
#{{l|ja|昨日}}, {{l|ja|きのう}} -yesterday
#{{l|ja|九}}, {{l|ja|きゅう}} -nine
#{{l|ja|牛肉}}, {{l|ja|ぎゅうにく}} -beef
#{{l|ja|牛乳}}, {{l|ja|ぎゅうにゅう}} -milk
#{{l|ja|今日}}, {{l|ja|きょう}} -today
#{{l|ja|教室}}, {{l|ja|きょうしつ}} -classroom
#{{l|ja|兄弟}}, {{l|ja|きょうだい}} -(humble) siblings
#{{l|ja|去年}}, {{l|ja|きょねん}} -last year
#{{l|ja|嫌い}}, {{l|ja|きらい}} -hate
#{{l|ja|切る}}, {{l|ja|きる}} -to cut
#{{l|ja|着る}}, {{l|ja|きる}} -to put on from the shoulders down
#{{l|ja|きれい}} -pretty,clean
#{{l|ja|銀行}}, {{l|ja|ぎんこう}} -bank
#{{l|ja|金曜日}}, {{l|ja|きんようび}} -Friday
#{{l|ja|薬}}, {{l|ja|くすり}} -medicine
#{{l|ja|ください}} -please
#{{l|ja|果物}}, {{l|ja|くだもの}} -fruit
#{{l|ja|口}}, {{l|ja|くち}} -mouth,opening
#{{l|ja|靴}}, {{l|ja|くつ}} -shoes
#{{l|ja|靴下}}, {{l|ja|くつした}} -socks
#{{l|ja|国}}, {{l|ja|くに}} -country
#{{l|ja|曇り}}, {{l|ja|くもり}} -cloudy weather
#{{l|ja|曇る}}, {{l|ja|くもる}} -to become cloudy,to become dim
#{{l|ja|暗い}}, {{l|ja|くらい}} -gloomy
#{{l|ja|クラス}} -class
#{{l|ja|グラム}} -gram
#{{l|ja|来る}}, {{l|ja|くる}} -to come
#{{l|ja|車}}, {{l|ja|くるま}} -car,vehicle
#{{l|ja|黒}}, {{l|ja|くろ}} -black
#{{l|ja|黒い}}, {{l|ja|くろい}} -black
#{{l|ja|警官}}, {{l|ja|けいかん}} -policeman
#{{l|ja|今朝}}, {{l|ja|けさ}} -this morning
#{{l|ja|消す}}, {{l|ja|けす}} -to erase,to turn off power
#{{l|ja|結構}}, {{l|ja|けっこう}} -splendid,enough
#{{l|ja|結婚}}, {{l|ja|けっこん}} -marriage
#{{l|ja|月曜日}}, {{l|ja|げつようび}} -Monday
#{{l|ja|玄関}}, {{l|ja|げんかん}} -entry hall
#{{l|ja|元気}}, {{l|ja|げんき}} -health, vitality
#{{l|ja|五}}, {{l|ja|ご}} -five
#{{l|ja|公園}}, {{l|ja|こうえん}} -park
#{{l|ja|交差点}}, {{l|ja|こうさてん}} -intersection
#{{l|ja|紅茶}}, {{l|ja|こうちゃ}} -black tea
#{{l|ja|交番}}, {{l|ja|こうばん}} -police box
#{{l|ja|声}}, {{l|ja|こえ}} -voice
#{{l|ja|コート}} -coat,tennis court
#{{l|ja|コーヒー}} -coffee
#{{l|ja|ここ}} -here
#{{l|ja|午後}}, {{l|ja|ごご}} -afternoon
#{{l|ja|九日}}, {{l|ja|ここのか}} -nine days, ninth day
#{{l|ja|九つ}}, {{l|ja|ここのつ}} -nine
#{{l|ja|午前}}, {{l|ja|ごぜん}} -morning
#{{l|ja|答える}}, {{l|ja|こたえる}} -to answer
#{{l|ja|こちら}} -this person or way
#{{l|ja|こっち}} -this person or way
#{{l|ja|コップ}} -a glass
#{{l|ja|今年}}, {{l|ja|ことし}} -this year
#{{l|ja|言葉}}, {{l|ja|ことば}} -word,language
#{{l|ja|子供}}, {{l|ja|こども}} -child
#{{l|ja|この}} -this
#{{l|ja|御飯}}, {{l|ja|ごはん}} -cooked rice,meal
#{{l|ja|コピー}}する -to copy
#{{l|ja|困る}}, {{l|ja|こまる}} -to be worried
#{{l|ja|これ}} -this
#{{l|ja|今月}}, {{l|ja|こんげつ}} -this month
#{{l|ja|今週}}, {{l|ja|こんしゅう}} -this week
#{{l|ja|こんな}} -such
#{{l|ja|今晩}}, {{l|ja|こんばん}} -this evening
#{{l|ja|さあ}} -well…
#{{l|ja|財布}}, {{l|ja|さいふ}} -wallet
#{{l|ja|魚}}, {{l|ja|さかな}} -fish
#{{l|ja|先}}, {{l|ja|さき}} -the future,previous
#{{l|ja|咲く}}, {{l|ja|さく}} -to bloom
#{{l|ja|作文}}, {{l|ja|さくぶん}} -composition,writing
#{{l|ja|差す}}, {{l|ja|さす}} -to stretch out hands,to raise an umbrella
#{{l|ja|雑誌}}, {{l|ja|ざっし}} -magazine
#{{l|ja|砂糖}}, {{l|ja|さとう}} -sugar
#{{l|ja|寒い}}, {{l|ja|さむい}} -cold
#{{l|ja|さ来年}}, {{l|ja|さらいねん}} -year after next
#{{l|ja|三}}, {{l|ja|さん}} -three
#{{l|ja|散歩}}, {{l|ja|さんぽ}} -to stroll
#{{l|ja|四}}, {{l|ja|し}} -four
#{{l|ja|塩}}, {{l|ja|しお}} -salt
#{{l|ja|しかし}} -however
#{{l|ja|時間}}, {{l|ja|じかん}} -time
#{{l|ja|仕事}}, {{l|ja|しごと}} -job
#{{l|ja|辞書}}, {{l|ja|じしょ}} -dictionary
#{{l|ja|静か}}, {{l|ja|しずか}} -quiet
#{{l|ja|下}}, {{l|ja|した}} -below
#{{l|ja|七}}, {{l|ja|しち}} -seven
#{{l|ja|質問}}, {{l|ja|しつもん}} -question
#{{l|ja|自転車}}, {{l|ja|じてんしゃ}} -bicycle
#{{l|ja|自動車}}, {{l|ja|じどうしゃ}} -automobile
#{{l|ja|死ぬ}}, {{l|ja|しぬ}} -to die
#{{l|ja|字引}}, {{l|ja|じびき}} -dictionary
#{{l|ja|自分}}, {{l|ja|じぶん}} -oneself
#{{l|ja|閉まる}}, {{l|ja|しまる}} -to close,to be closed
#{{l|ja|閉める}}, {{l|ja|しめる}} -to close something
#{{l|ja|締める}}, {{l|ja|しめる}} -to tie
#{{l|ja|じゃ}} -well then…
#{{l|ja|じゃあ}} -well then…
#{{l|ja|写真}}, {{l|ja|しゃしん}} -photograph
#{{l|ja|シャツ}} -shirt
#{{l|ja|シャワー}} -shower
#{{l|ja|授業}}, {{l|ja|じゅぎょう}} -lesson,class work
#{{l|ja|宿題}}, {{l|ja|しゅくだい}} -homework
#{{l|ja|上手}}, {{l|ja|じょうず}} -skillful
#{{l|ja|丈夫}}, {{l|ja|じょうぶ}} -strong,durable
#{{l|ja|しょうゆ}} -soy sauce
#{{l|ja|食堂}}, {{l|ja|しょくどう}} -dining hall
#{{l|ja|知る}}, {{l|ja|しる}} -to know
#{{l|ja|白}}, {{l|ja|しろ}} -white
#{{l|ja|白い}}, {{l|ja|しろい}} -white
#{{l|ja|新聞}}, {{l|ja|しんぶん}} -newspaper
#{{l|ja|水曜日}}, {{l|ja|すいようび}} -Wednesday
#{{l|ja|吸う}}, {{l|ja|すう}} -to smoke,to suck
#{{l|ja|スカート}} -skirt
#{{l|ja|好き}}, {{l|ja|すき}} -likeable
#{{l|ja|少ない}}, {{l|ja|すくない}} -a few
#{{l|ja|すぐに}} -instantly
#{{l|ja|少し}}, {{l|ja|すこし}} -few
#{{l|ja|涼しい}}, {{l|ja|すずしい}} -refreshing
#{{l|ja|ストーブ}} -heater
#{{l|ja|スプーン}} -spoon
#{{l|ja|スポーツ}} -sport
#{{l|ja|ズボン}} -trousers
#{{l|ja|住む}}, {{l|ja|すむ}} -to live in
#{{l|ja|スリッパ}} -slippers
#{{l|ja|する}} -to do
#{{l|ja|座る}}, {{l|ja|すわる}} -to sit
#{{l|ja|背}}, {{l|ja|せ}} -height,stature
#{{l|ja|生徒}}, {{l|ja|せいと}} -pupil
#{{l|ja|セーター}} -sweater,jumper
#{{l|ja|せっけん}} -soap
#{{l|ja|背広}}, {{l|ja|せびろ}} -business suit
#{{l|ja|狭い}}, {{l|ja|せまい}} -narrow
#{{l|ja|ゼロ}} -zero
#{{l|ja|千}}, {{l|ja|せん}} -thousand
#{{l|ja|先月}}, {{l|ja|せんげつ}} -last month
#{{l|ja|先週}}, {{l|ja|せんしゅう}} -last week
#{{l|ja|先生}}, {{l|ja|せんせい}} -teacher,doctor
#{{l|ja|洗濯}}, {{l|ja|せんたく}} -washing
#{{l|ja|全部}}, {{l|ja|ぜんぶ}} -all
#{{l|ja|掃除}}, {{l|ja|そうじ}} -　cleaning, sweeping
#{{l|ja|そして}} -and
#{{l|ja|そうして}} -and
#{{l|ja|そこ}} -that place
#{{l|ja|そちら}} -over there
#{{l|ja|そっち}} -over there
#{{l|ja|外}}, {{l|ja|そと}} -outside
#{{l|ja|その}} -that
#{{l|ja|そば}} -near,beside
#{{l|ja|空}}, {{l|ja|そら}} -sky
#{{l|ja|それ}} -that
#{{l|ja|それから}} -after that
#{{l|ja|それでは}} -in that situation
#{{l|ja|大学}}, {{l|ja|だいがく}} -university
#{{l|ja|大使館}}, {{l|ja|たいしかん}} -embassy
#{{l|ja|大丈夫}}, {{l|ja|だいじょうぶ}} -all right
#{{l|ja|大好き}}, {{l|ja|だいすき}} -to be very likeable
#{{l|ja|大切}}, {{l|ja|たいせつ}} -important
#{{l|ja|台所}}, {{l|ja|だいどころ}} -kitchen
#{{l|ja|たいへん}} -very
#{{l|ja|たいへん}} -difficult situation
#{{l|ja|高い}}, {{l|ja|たかい}} -tall, expensive
#{{l|ja|たくさん}} -many
#{{l|ja|タクシー}} -taxi
#{{l|ja|出す}}, {{l|ja|だす}} -to put out
#{{l|ja|立つ}}, {{l|ja|たつ}} -to stand
#{{l|ja|たて}} -length,height
#{{l|ja|建物}}, {{l|ja|たてもの}} -building
#{{l|ja|楽しい}}, {{l|ja|たのしい}} -enjoyable
#{{l|ja|頼む}}, {{l|ja|たのむ}} -to ask
#{{l|ja|たばこ}} -tobacco,cigarettes
#{{l|ja|たぶん}} -probably
#{{l|ja|食べ物}}, {{l|ja|たべもの}} -food
#{{l|ja|食べる}}, {{l|ja|たべる}} -to eat
#{{l|ja|卵}}, {{l|ja|たまご}} -egg
#{{l|ja|誰}}, {{l|ja|だれ}} -who
#{{l|ja|誰か}}, {{l|ja|だれか}} -somebody
#{{l|ja|誕生日}}, {{l|ja|たんじょうび}} -birthday
#{{l|ja|だんだん}} -gradually
#{{l|ja|小さい}}, {{l|ja|ちいさい}} -little
#{{l|ja|小さな}}, {{l|ja|ちいさな}} -little
#{{l|ja|近い}}, {{l|ja|ちかい}} -near
#{{l|ja|違う}}, {{l|ja|ちがう}} -to differ
#{{l|ja|近く}}, {{l|ja|ちかく}} -near
#{{l|ja|地下鉄}}, {{l|ja|ちかてつ}} -underground train
#{{l|ja|地図}}, {{l|ja|ちず}} -map
#{{l|ja|茶色}}, {{l|ja|ちゃいろ}} -brown
#{{l|ja|ちゃわん}} -rice bowl
#{{l|ja|ちょうど}} -exactly
#{{l|ja|ちょっと}} -somewhat
#{{l|ja|一日}}, {{l|ja|ついたち}} -first of month
#{{l|ja|使う}}, {{l|ja|つかう}} -to use
#{{l|ja|疲れる}}, {{l|ja|つかれる}} -to get tired
#{{l|ja|次}}, {{l|ja|つぎ}} -next
#{{l|ja|着く}}, {{l|ja|つく}} -to arrive at
#{{l|ja|机}}, {{l|ja|つくえ}} -desk
#{{l|ja|作る}}, {{l|ja|つくる}} -to make
#{{l|ja|つける}} -to turn on
#{{l|ja|勤める}}, {{l|ja|つとめる}} -to work for someone
#{{l|ja|つまらない}} -boring
#{{l|ja|冷たい}}, {{l|ja|つめたい}} -cold to the touch
#{{l|ja|強い}}, {{l|ja|つよい}} -powerful
#{{l|ja|手}}, {{l|ja|て}} -hand
#{{l|ja|テープ}} -tape
#{{l|ja|テーブル}} -table
#{{l|ja|テープレコーダー}} -tape recorder
#{{l|ja|出かける}}, {{l|ja|でかける}} -to go out
#{{l|ja|手紙}}, {{l|ja|てがみ}} -letter
#{{l|ja|できる}} -to be able to
#{{l|ja|出口}}, {{l|ja|でぐち}} -exit
#{{l|ja|テスト}} -test
#{{l|ja|では}} -with that...
#{{l|ja|デパート}} -department store
#{{l|ja|でも}} -but
#{{l|ja|出る}}, {{l|ja|でる}} -to appear,to leave
#{{l|ja|テレビ}} -television
#{{l|ja|天気}}, {{l|ja|てんき}} -weather
#{{l|ja|電気}}, {{l|ja|でんき}} -electricity,electric light
#{{l|ja|電車}}, {{l|ja|でんしゃ}} -electric train
#{{l|ja|電話}}, {{l|ja|でんわ}} -telephone
#{{l|ja|戸}}, {{l|ja|と}} -Japanese style door
#{{l|ja|ドア}} -Western style door
#{{l|ja|トイレ}} -toilet
#{{l|ja|どう}} -how,in what way
#{{l|ja|どうして}} -for what reason
#{{l|ja|どうぞ}} -please
#{{l|ja|動物}}, {{l|ja|どうぶつ}} -animal
#{{l|ja|どうも}} -thanks
#{{l|ja|遠い}}, {{l|ja|とおい}} -far
#{{l|ja|十日}}, {{l|ja|とおか}} -ten days,the tenth day
#{{l|ja|時々}}, {{l|ja|ときどき}} -sometimes
#{{l|ja|時計}}, {{l|ja|とけい}} -watch,clock
#{{l|ja|どこ}} -where
#{{l|ja|所}}, {{l|ja|ところ}} -place
#{{l|ja|年}}, {{l|ja|とし}} -year
#{{l|ja|図書館}}, {{l|ja|としょかん}} -library
#{{l|ja|どちら}} -which of two
#{{l|ja|どっち}} -which
#{{l|ja|とても}} -very
#{{l|ja|どなた}} -who
#{{l|ja|隣}}, {{l|ja|となり}} -next door to
#{{l|ja|どの}} -which
#{{l|ja|飛ぶ}}, {{l|ja|とぶ}} -to fly,to hop
#{{l|ja|止まる}}, {{l|ja|とまる}} -to come to a halt
#{{l|ja|友達}}, {{l|ja|ともだち}} -friend
#{{l|ja|土曜日}}, {{l|ja|どようび}} -Saturday
#{{l|ja|鳥}}, {{l|ja|とり}} -bird
#{{l|ja|鳥肉}}, {{l|ja|とりにく}} -chicken meat
#{{l|ja|取る}}, {{l|ja|とる}} -to take something
#{{l|ja|撮る}}, {{l|ja|とる}} -to take a photo or record a film
#{{l|ja|どれ}} -which (of three or more)
#{{l|ja|ナイフ}} -knife
#{{l|ja|中}}, {{l|ja|なか}} -middle
#{{l|ja|長い}}, {{l|ja|ながい}} -long
#{{l|ja|鳴く}}, {{l|ja|なく}} -animal noise. to chirp, roar or croak etc.
#{{l|ja|無くす}}, {{l|ja|なくす}} -to lose something
#{{l|ja|なぜ}} -why
#{{l|ja|夏}}, {{l|ja|なつ}} -summer
#{{l|ja|夏休み}}, {{l|ja|なつやすみ}} -summer holiday
#{{l|ja|など}} -et cetera
#{{l|ja|七つ}}, {{l|ja|ななつ}} -seven
#{{l|ja|七日}}, {{l|ja|なのか}} -seven days,the seventh day
#{{l|ja|名前}}, {{l|ja|なまえ}} -name
#{{l|ja|習う}}, {{l|ja|ならう}} -to learn
#{{l|ja|並ぶ}}, {{l|ja|ならぶ}} -to line up,to stand in a line
#{{l|ja|並べる}}, {{l|ja|ならべる}} -to line up,to set up
#{{l|ja|なる}} -to become
#{{l|ja|何}}, {{l|ja|なん}} -what
#{{l|ja|二}}, {{l|ja|に}} -two
#{{l|ja|賑やか}}, {{l|ja|にぎやか}} -bustling,busy
#{{l|ja|肉}}, {{l|ja|にく}} -meat
#{{l|ja|西}}, {{l|ja|にし}} -west
#{{l|ja|日曜日}}, {{l|ja|にちようび}} -Sunday
#{{l|ja|荷物}}, {{l|ja|にもつ}} -luggage
#{{l|ja|ニュース}} -news
#{{l|ja|庭}}, {{l|ja|にわ}} -garden
#{{l|ja|脱ぐ}}, {{l|ja|ぬぐ}} -to take off clothes
#{{l|ja|温い}}, {{l|ja|ぬるい}} -luke warm
#{{l|ja|ネクタイ}} -tie,necktie
#{{l|ja|猫}}, {{l|ja|ねこ}} -cat
#{{l|ja|寝る}}, {{l|ja|ねる}} -to go to bed,to sleep
#{{l|ja|ノート}} -notebook,exercise book
#{{l|ja|登る}}, {{l|ja|のぼる}} -to climb
#{{l|ja|飲み物}}, {{l|ja|のみもの}} -a drink
#{{l|ja|飲む}}, {{l|ja|のむ}} -to drink
#{{l|ja|乗る}}, {{l|ja|のる}} -to get on,to ride
#{{l|ja|歯}}, {{l|ja|は}} -tooth
#{{l|ja|パーティー}} -party
#{{l|ja|はい}} -yes
#{{l|ja|灰皿}}, {{l|ja|はいざら}} -ashtray
#{{l|ja|入る}}, {{l|ja|はいる}} -to enter,to contain
#{{l|ja|葉書}}, {{l|ja|はがき}} -postcard
#{{l|ja|はく}} -to wear,to put on trousers
#{{l|ja|箱}}, {{l|ja|はこ}} -box
#{{l|ja|橋}}, {{l|ja|はし}} -bridge
#{{l|ja|はし}} -chopsticks
#{{l|ja|始まる}}, {{l|ja|はじまる}} -to begin
#{{l|ja|初め}}, {{l|ja|はじめ}} -beginning
#{{l|ja|始め}}, {{l|ja|はじめ}} -beginning
#{{l|ja|初めて}}, {{l|ja|はじめて}} -for the first time
#{{l|ja|走る}}, {{l|ja|はしる}} -to run
#{{l|ja|バス}} -bus
#{{l|ja|バター}} -butter
#{{l|ja|二十歳}}, {{l|ja|はたち}} -20 years old,20th year
#{{l|ja|働く}}, {{l|ja|はたらく}} -to work
#{{l|ja|八}}, {{l|ja|はち}} -eight
#{{l|ja|二十日}}, {{l|ja|はつか}} -twenty days,twentieth
#{{l|ja|花}}, {{l|ja|はな}} -flower
#{{l|ja|鼻}}, {{l|ja|はな}} -nose
#{{l|ja|話}}, {{l|ja|はなし}} -talk,story
#{{l|ja|話す}}, {{l|ja|はなす}} -to speak
#{{l|ja|早い}}, {{l|ja|はやい}} -early
#{{l|ja|速い}}, {{l|ja|はやい}} -quick
#{{l|ja|春}}, {{l|ja|はる}} -spring
